Samples	17may15_004-r001	17may15_004-r002	17may15_005-r001	17may15_005-r002	17may15_006-r001	17may15_006-r002	17may15_007-r001	17may15_007-r002	17may15_008-r001	17may15_008-r002	17may15_009-r001	17may15_009-r002	17may15_010-r001	17may15_010-r002	17may15_011-r001	17may15_011-r002	17may15_012-r001	17may15_012-r002	17may15_013-r001	17may15_013-r002	17may15_014-r001	17may15_014-r002	17may15_015-r001	17may15_015-r002	17may15_016-r001	17may15_016-r002	17may15_017-r001	17may15_017-r002	17may15_018-r001	17may15_018-r002	17may15_019-r001	17may15_019-r002	17may15_020-r001	17may15_020-r002	17may15_021-r001	17may15_021-r002	17may15_022-r001	17may15_022-r002	17may15_023-r001	17may15_023-r002	17may15_024-r001	17may15_024-r002	17may15_025-r001	17may15_025-r002	17may15_026-r001	17may15_026-r002	17may15_027-r001	17may15_027-r002	17may15_028-r001	17may15_028-r002	17may15_029-r001	17may15_029-r002	17may15_030-r001	17may15_030-r002	17may15_031-r001	17may15_031-r002	17may15_032-r001	17may15_032-r002	17may15_033-r001	17may15_033-r002	17may15_034-r001	17may15_034-r002	17may15_035-r001	17may15_035-r002	17may15_036-r001	17may15_036-r002	17may15_037-r001	17may15_037-r002	17may15_038-r001	17may15_038-r002	17may15_039-r001	17may15_039-r002	17may15_040-r001	17may15_040-r002	18may15_004-r001	18may15_004-r002	18may15_005-r001	18may15_005-r002	18may15_006-r001	18may15_006-r002	18may15_007-r001	18may15_007-r002	18may15_008-r001	18may15_008-r002	18may15_009-r001	18may15_009-r002	18may15_010-r001	18may15_010-r002	18may15_011-r001	18may15_011-r002	18may15_012-r001	18may15_012-r002	18may15_013-r001	18may15_013-r002	18may15_014-r001	18may15_014-r002	18may15_015-r001	18may15_015-r002	18may15_016-r001	18may15_016-r002	18may15_017-r001	18may15_017-r002	18may15_018-r001	18may15_018-r002	18may15_019-r001	18may15_019-r002	18may15_020-r001	18may15_020-r002	18may15_021-r001	18may15_021-r002	18may15_022-r001	18may15_022-r002	18may15_023-r001	18may15_023-r002	18may15_024-r001	18may15_024-r002	18may15_025-r001	18may15_025-r002	18may15_026-r001	18may15_026-r002	18may15_027-r001	18may15_027-r002	18may15_028-r001	18may15_028-r002	18may15_029-r001	18may15_029-r002	18may15_030-r001	18may15_030-r002	18may15_031-r001	18may15_031-r002	18may15_032-r001	18may15_032-r002	18may15_033-r001	18may15_033-r002	18may15_034-r001	18may15_034-r002	18may15_035-r001	18may15_035-r002	18may15_038-r001	18may15_038-r002	18may15_039-r001	18may15_039-r002	18may15_040-r001	18may15_040-r002
206.06@2.7501206	31681	78340	1	16180	1	9372	54089	102008	146946	113339	1	3984	117628	95187	62911	58800	90010	10338	43453	47178	61558	90716	98431	1	36673	41456	1	16883	33235	64594	139272	119066	112407	1	35392	52814	26328	137636	1	76899	1	35534	1	7514	108125	115744	37232	1	169698	1	17416	1	1	24012	91325	1	20383	33067	1	68236	11126	1	21887	83625	41178	32699	76501	45967	90339	36592	3333	21172	1	1	56425	35089	1	59664	27941	14024	122274	1	60187	55211	66112	26663	2525	11156	1	10473	31108	111994	18104	31109	39502	1	11260	57830	4521	33396	145557	76608	144907	26277	103286	9311	1	127520	154799	165782	120077	100496	118094	60745	23583	20077	161060	76723	87705	75890	34846	1	1	153322	40025	13005	45939	1	98951	86743	146990	142100	114980	44138	10706	120596	187204	84869	4509	153035	70255	1	103424	1
473.0889@2.8271937	1	1	1	1	1	1	1	1	1	1	4394	1	1	5952	1	1	1	3645	1	1	5202	3180	1	1	1	1	1	1	1	1	1	1	1	3158	1	3304	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5540	1	1	3106	1	1	2717	1	1	1	1	1	1	1	5962	1	1	3440	1	1	1	1	1	4079	1	1	1	1	1	1	1	4356	1	1	5556	10389	1	1	1	9003	1	1	1	1	1	2985	1	1	1	1	1	1	1	10894	1	1	1	8598	6264	1	9155	1	1	1	1	1	1	1	1	6059	1	1	1	1	6448	1	1	1	1	1	6311	6475	8299	15687	1	10862	1	1	1	5467	1	1	14625
266.9559@2.7978275	1	1	9003	1	1	6958	1	1	1	7978	6181	1	1	6941	1	8019	1	1	1	1	1	1	4383	1	1	1	1	1	3527	10780	1	6774	1	1	9906	1	6577	1	1	1	8269	10244	1	1	1	1	9709	1	9662	4085	1	1	1	1	16063	1	1	1	1	9073	1	12041	1	2992	1	1	1	4019	1	1	1	1	6736	6084	1	1	5105	11400	1	3356	1	1	6160	4844	1	6437	6511	11070	1	4218	1	1	10206	7680	1	1	1	1	1	14137	1	11678	1	5361	11150	5921	6932	1	1	3072	7705	1	1	1	10965	1	1	1	4085	5808	7075	1	1	7668	1	5362	1	1	11424	1	1	1	1	1	1	1	1	1	1	1	6809	7002	1	1
340.9047@2.7862887	1	36696	23245	1	27052	1	1	85580	18153	59210	1	1	67718	1	56403	97447	39567	1	1	66095	1	106346	1	115799	176791	1	42331	1	119870	138146	81055	1	174712	1	59018	110716	156159	160643	129115	1	95282	1	79241	124952	1	63117	97234	1	223160	101655	173341	1	118019	1	1	34386	65673	206355	157117	50082	52772	131825	1	1	133446	1	204214	141053	39096	120318	211109	80297	1	1	81669	1	1	1	196281	117257	179429	74433	46158	144109	139547	1	1	1	49253	1	118702	113537	128536	1	133527	1	183469	1	136693	1	67273	146811	115396	1	69235	86064	120304	1	1	41992	68234	132280	148785	4695	113835	78444	1	59839	133605	1	98824	131593	1	1	1	1	127446	1	1	1	124456	134127	94829	1	144360	54847	208807	1	76806	1	111782	112124	127279	1
305.9849@2.7968194	32211	29568	41650	30600	1	41359	46366	33309	35778	42665	24608	43335	27686	11993	1	17814	32863	15031	28695	26099	27254	28050	18035	19401	21214	34039	18346	29037	15829	1	23259	27648	29150	19170	25002	21209	19279	10447	18258	1	18984	17701	1	20037	15050	15809	24560	32341	11965	12525	11286	1	25673	11326	25287	18396	16532	15506	14243	9541	1	23051	16101	1	12474	1	14520	9828	22052	19531	16217	14519	28611	23167	20170	1	27642	16655	1	21044	15333	24187	22734	11609	15854	1	16339	15124	10585	13272	22633	16939	20673	13939	13889	11044	1	9532	22069	1	13278	29141	12786	19413	22163	17341	1	1	14706	41100	1	16671	15307	17005	14485	1	12391	1	18311	15511	17664	1	20923	29839	14375	30640	17780	1	15020	25531	32064	16063	16976	12376	15306	16139	16529	13922	15118	21870	1	21097	18910	26990
219.0413@2.7911236	19082	28359	19177	1	58485	24712	29131	1	1	47396	1	32948	9676	1	1	47073	1	1	1	1	1	1	1	23414	1	40374	16511	1	1	1	1	1	1	43337	1	24312	1	39535	1	75166	18492	23478	28297	1	69290	1	88435	1	1	1	1	42281	1	68695	53619	1	1	1	1	39794	71278	13158	58243	28958	36138	50187	1	52813	1	44964	29718	28278	32574	22205	1	1	63316	43137	1	1	55864	1	1	1	45296	25504	40834	37829	1	1	42039	27802	42385	1	1	45397	1	21357	67974	1	1	1	38769	62341	1	1	1	1	1	23465	24421	20047	69422	56071	62218	1	32314	1	1	1	35837	1	1	37432	1	31985	24657	1	53040	1	63192	1	22471	1	39655	1	57959	65641	1	18308	40641	1	1	35125
205.0643@2.8271933	9926	1	17709	9480	16253	14610	13632	1	1	14689	9648	1	14039	1	1	11623	14265	1	16113	17790	1	18162	19409	12617	1	1	1	1	18852	1	10771	10361	1	1	16767	22127	11480	16982	1	1	1	1	1	11339	10872	1	1	1	19657	1	1	1	11490	1	14871	1	1	1	16602	1	1	9628	1	15005	1	1	1	1	1	8622	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10349	16936	1	1	15578	15938	1	1	1	1	1	1	13996	14869	17672	13790	16374	1	8734	1	1	14561	1	1	1	14129	21389	1	10381	32666	27425	16942	17213	1	1	20355	21835	1	23992	18146	9831	1	1	1	1	21065	23222	1	8507	13431	1	1	1	1	15562	1	13325	1	9517	1
289.0008@2.7956274	1	10936	7228	28458	14301	1	1	16999	1	1	1	1	1	12852	15260	1	10511	17412	1	1	28157	1	36904	1	13042	1	1	1	20825	1	1	1	6704	1	1	1	1	1	24366	1	1	38907	1	1	1	1	1	1	1	1	1	18122	1	45450	1	1	1	39931	1	1	43009	13839	8201	11417	1	19551	1	1	1	1	22053	1	7077	1	14271	1	25723	1	1	1	1	9517	1	12229	10984	1	1	1	44951	1	1	8796	1	1	1	1	1	9465	20856	1	28177	32750	1	35566	27832	1	31409	31354	27675	21734	1	1	1	26719	1	1	1	1	1	44944	15701	1	21580	1	11240	1	25142	8684	27014	4456	12515	15326	1	27136	11021	1	1	1	1	12738	1	14243	17857	1
306.9251@2.7960966	1	1	1	1	1	1	1	1	36831	36967	1	1	1	1	1	1	1	91986	43276	1	1	1	1	1	1	1	1	1	1	1	1	44264	1	1	1	114597	1	1	36393	1	1	1	1	30088	1	1	1	1	1	1	1	1	1	76756	1	1	1	1	1	1	1	1	1	1	69782	1	1	1	221424	1	1	35903	1	1	1	85217	1	51324	1	1	69316	1	1	1	1	1	1	1	122970	57161	1	42661	1	1	80511	100020	1	1	1	41043	65231	1	50277	1	1	1	1	1	1	98799	1	1	38836	1	1	46164	1	1	1	47306	1	1	1	1	1	92401	1	179914	1	1	1	1	39825	1	1	1	1	42556	1	1	1	1	1	1
694.3036@2.8201668	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4057	1	1	2501	1	2062	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2303	1	1	1	1	1	1	2658	3808	2733	3735	1	1	1	1	1	1	1	5217	1	1	1	2638	1	2233	1	1	3723	1	1	1	1	1	1	1
